"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0274639642801423,23,1894,2.13736901957599,"GO:0005887 integral component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0005887","ENSG00000069018 ENSG00000117971 ENSG00000121764 ENSG00000132671 ENSG00000162494 ENSG00000163914 ENSG00000168418 ENSG00000170180 ENSG00000183671 ENSG00000184564 ENSG00000186265 ENSG00000187258 ENSG00000007908 ENSG00000174175 ENSG00000153802 ENSG00000049249 ENSG00000117560 ENSG00000120436 ENSG00000125726 ENSG00000126262 ENSG00000171517 ENSG00000171551 ENSG00000173585"
0.0272017954816551,24,1978,2.1355837287081,"GO:0031226 intrinsic component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0031226","ENSG00000069018 ENSG00000117971 ENSG00000121764 ENSG00000132671 ENSG00000162494 ENSG00000163914 ENSG00000168418 ENSG00000170180 ENSG00000183671 ENSG00000184564 ENSG00000186265 ENSG00000187258 ENSG00000007908 ENSG00000174175 ENSG00000153802 ENSG00000049249 ENSG00000117560 ENSG00000118094 ENSG00000120436 ENSG00000125726 ENSG00000126262 ENSG00000171517 ENSG00000171551 ENSG00000173585"
0.00364542443714966,39,3577,1.91901034386357,"GO:0005615 extracellular space "," http://amigo.geneontology.org/amigo/term/GO:0005615","ENSG00000005381 ENSG00000046604 ENSG00000073754 ENSG00000084674 ENSG00000090402 ENSG00000101425 ENSG00000118094 ENSG00000120949 ENSG00000125726 ENSG00000130768 ENSG00000135480 ENSG00000143217 ENSG00000153802 ENSG00000154611 ENSG00000160185 ENSG00000165694 ENSG00000170421 ENSG00000175084 ENSG00000185915 ENSG00000188257 ENSG00000189334 ENSG00000007908 ENSG00000069482 ENSG00000104879 ENSG00000105989 ENSG00000118004 ENSG00000120235 ENSG00000136457 ENSG00000156427 ENSG00000160180 ENSG00000167244 ENSG00000174175 ENSG00000184374 ENSG00000188162 ENSG00000260001 ENSG00000117560 ENSG00000137648 ENSG00000095752 ENSG00000127743"
0.00364542443714966,47,4673,1.77024642380945,"GO:0005576 extracellular region "," http://amigo.geneontology.org/amigo/term/GO:0005576","ENSG00000005381 ENSG00000046604 ENSG00000073754 ENSG00000084674 ENSG00000090402 ENSG00000101425 ENSG00000118094 ENSG00000120949 ENSG00000125726 ENSG00000130768 ENSG00000135480 ENSG00000143217 ENSG00000153802 ENSG00000154611 ENSG00000160185 ENSG00000165694 ENSG00000170421 ENSG00000175084 ENSG00000185915 ENSG00000188257 ENSG00000189334 ENSG00000007908 ENSG00000069482 ENSG00000104879 ENSG00000105989 ENSG00000118004 ENSG00000120235 ENSG00000136457 ENSG00000156427 ENSG00000160180 ENSG00000167244 ENSG00000174175 ENSG00000184374 ENSG00000188162 ENSG00000260001 ENSG00000117560 ENSG00000137648 ENSG00000198074 ENSG00000079689 ENSG00000095752 ENSG00000127743 ENSG00000134028 ENSG00000158816 ENSG00000163421 ENSG00000169393 ENSG00000172551 ENSG00000178602"
